****************************************
* Copied from https://code.qt.io/cgit/ *
****************************************

Name	Description	Owner	Idle	Links
qt-extensions/qtquickcalendar.git	Qt Extension: Calendar			summarylogtree
qt-extensions/qtquickmultieffect.git	Repository for QtQuickMultiEffect		12 months	summarylogtree
qt-extensions/qttreeview.git	Qt Extension: TreeView		16 months	summarylogtree
qt-labs/android-studio-tools.git	Tools for developing and building Qt apps from Android Studio and integrating th...			summarylogtree
qt-labs/cinematic3d.git	Cinematic 3D, a Qt3D demo application		16 months	summarylogtree
qt-labs/cursormanagement.git	A plugin for enabling cursor based navigation in QML UIs. Moving the cursor is a...		16 months	summarylogtree
qt-labs/gimp-qmlexporter.git	GIMP QML exporter		16 months	summarylogtree
qt-labs/jira2gv.git	jira2gv		16 months	summarylogtree
qt-labs/jom.git	JOM build tool		6 months	summarylogtree
qt-labs/messagingframework.git	Qt Messaging Framework		2 months	summarylogtree
qt-labs/photoshop-qmlexporter.git	Photoshop QML exporter		16 months	summarylogtree
qt-labs/qml-presentation-system.git	QML-based presentation system		16 months	summarylogtree
qt-labs/qmlbench.git	Tool for benchmarking frame rate of Qt Quick			summarylogtree
qt-labs/qsettings-refactor.git	QSettings refactoring experiment		16 months	summarylogtree
qt-labs/qt3d-editor.git	Experimental 3D Scene Editor for Qt 3D		16 months	summarylogtree
qt-labs/qt5-everywhere-demo.git	Qt5 Everywhere Demo		16 months	summarylogtree
qt-labs/qtaddonmimetype.git	Qt MimeType Addon		16 months	summarylogtree
qt-labs/qtd3d12window.git	Qt-based Direct3D 12 enablers and examples		16 months	summarylogtree
qt-labs/qtdotnet.git	Qt/.NET enables the integration of Qt with .NET libraries and applications.			summarylogtree
qt-labs/qtest-qml.git	QTest QML extension		16 months	summarylogtree
qt-labs/qtgeoservices-omim.git	QtLocation plugin integrating the OMIM backend		16 months	summarylogtree
qt-labs/qtgradleplugin.git	QtGradlePlugin can be used from Qt Tools for Android Studio from Android Studio ...			summarylogtree
qt-labs/qthttpserver.git	Qt HTTP Server		16 months	summarylogtree
qt-labs/qtpdf.git	A Qt module for displaying PDF files			summarylogtree
qt-labs/qtquickcl.git	Qt Quick OpenCL demo framework		16 months	summarylogtree
qt-labs/qtquickdesigner-components.git	Qt Quick Designer components that may one day become part of Qt Quick Controls.			summarylogtree
qt-labs/qtscriptgenerator.git	QtScript generator		16 months	summarylogtree
qt-labs/qtsensehat.git	Raspberry Pi Sense HAT support module		16 months	summarylogtree
qt-labs/qtshadertools.git	Experimental module providing APIs and a host tool to host tool to perform graph...		16 months	summarylogtree
qt-labs/qtvehicleservices.git	Reference implementation of Vehicle Services used in the automotive space			summarylogtree
qt-labs/talk-schedule.git	Organizer app for conference talk scheduling		16 months	summarylogtree
qt-labs/umlquick.git	Qt Quick support for UML		13 months	summarylogtree
qt-labs/vs-debugtools.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
qt-labs/vscodeext.git	Qt extension for Visual Studio Code			summarylogtree
qt-labs/vstools.git	Qt Visual Studio Add-in – https://wiki.qt.io/QtVSAddin		8 months	summarylogtree
qt-labs/weather-app.git	The "Quick Forecast" application		16 months	summarylogtree
qt-learning/education-course-materials.git	Qt Education and Course Materials		16 months	summarylogtree
qt-learning/learning-guides.git	Qt learning guides		16 months	summarylogtree
qt-mobility/qt-mobility.git	Qt Mobility (Qt 4.x)		16 months	summarylogtree
qt-solutions/qt-solutions.git	QtSolutions archive		16 months	summarylogtree
qt/qlalr.git	Qlalr (part of QtBase in Qt 5.3+)		16 months	summarylogtree
qt/qmake2cmake.git	Tool to convert qmake .pro files to CMakeLists.txt			summarylogtree
qt/qt-conan-common.git	Shared functionality for Conan recipes		16 months	summarylogtree
qt/qt-conan-config.git	Conan settings and profiles to be used together with Qt6 packages		16 months	summarylogtree
qt/qt-license-service.git	The Qt License Service is a gateway between Qt License Server and Qt developer t...			summarylogtree
qt/qt.git	Qt 4.x. This repository is obsolete.		16 months	summarylogtree
qt/qt2cmake.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
qt/qt3d.git	Qt3D		10 months	summarylogtree
qt/qt5.git	Qt5 super module		16 months	summarylogtree
qt/qt5compat.git	The module contains unsupported Qt 5 APIs		7 months	summarylogtree
qt/qtactiveqt.git	ActiveQt		16 months	summarylogtree
qt/qtanalytics.git	Qt Quick plug in allowing collection of UI usage analytics.			summarylogtree
qt/qtandroidextras.git	Android extras for Qt		16 months	summarylogtree
qt/qtapplicationmanager.git	Qt component for application lifecycle management		3 months	summarylogtree
qt/qtbase.git	Qt Base (Core, Gui, Widgets, Network, ...)		3 weeks	summarylogtree
qt/qtcanvas3d.git	Qt Canvas 3D		16 months	summarylogtree
qt/qtcharts.git	QtCharts module		16 months	summarylogtree
qt/qtcloudmessaging.git	Qt API which wraps push services		16 months	summarylogtree
