****************************************
* Copied from https://code.qt.io/cgit/ *
****************************************

Name	Description	Owner	Idle	Links
{non-gerrit}/qt-labs/segmentedbutton.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/simplegl.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/simulator.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/symbian-overlay.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/systemtests.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/webclient.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/webscraps.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/widgets-ng.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt-labs/wolfenqt.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
{non-gerrit}/qt/qt3support.git	Unnamed repository; edit this file 'description' to name the repository.		16 months	summarylogtree
